attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,total_duration,total_length,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg1_carbon,leg2_carbon,leg3_carbon,leg4_carbon,leg5_carbon,leg6_carbon,leg7_carbon,leg8_carbon,leg9_carbon,leg10_carbon,leg11_carbon,leg12_carbon,calculated_total_carbon_footprint,leg1_cost,leg2_cost,leg3_cost,leg4_cost,leg5_cost,leg6_cost,leg7_cost,leg8_cost,leg9_cost,leg10_cost,leg11_cost,leg12_cost,calculated_total_cost
A00040,ret,1,BICYCLE,31.03002,107.76666666666667,,,,,,,,,,,,,,,,,,,,,,,,,107.76666666666667,31.03002,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00042,ret,1,BICYCLE,63.544830000000005,221.5,,,,,,,,,,,,,,,,,,,,,,,,,221.5,63.544830000000005,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00043,ret,1,CAR,101.02037,63.93333333333333,,,,,,,,,,,,,,,,,,,,,,,,,63.93333333333333,101.02037,,,,,,,,,,19395.91104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19395.91104,42.933657249999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.933657249999996
A00044,ret,1,CAR,222.25556,139.28333333333333,,,,,,,,,,,,,,,,,,,,,,,,,139.28333333333333,222.25556,,,,,,,,,,42673.06752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42673.06752,94.458613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.458613
A00045,ret,1,BICYCLE,30.64305,104.81666666666666,,,,,,,,,,,,,,,,,,,,,,,,,104.81666666666666,30.64305,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00046,ret,1,CAR,213.56267000000003,136.68333333333334,,,,,,,,,,,,,,,,,,,,,,,,,136.68333333333334,213.56267000000003,,,,,,,,,,41004.032640000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41004.032640000005,90.76413475000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.76413475000001
A00047,ret,1,BICYCLE,21.389110000000002,74.76666666666667,,,,,,,,,,,,,,,,,,,,,,,,,74.76666666666667,21.389110000000002,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00048,ret,1,CAR,88.12419,56.38333333333333,,,,,,,,,,,,,,,,,,,,,,,,,56.38333333333333,88.12419,,,,,,,,,,16919.84448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16919.84448,37.452780749999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.452780749999995
A00049,ret,1,BICYCLE,27.90256,96.98333333333333,,,,,,,,,,,,,,,,,,,,,,,,,96.98333333333333,27.90256,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00050,ret,1,BICYCLE,30.19762,104.56666666666666,,,,,,,,,,,,,,,,,,,,,,,,,104.56666666666666,30.19762,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
