attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg13_mode,leg13_length,leg13_duration,total_duration,total_length,leg1_carbon,leg2_carbon,leg3_carbon,leg4_carbon,leg5_carbon,leg6_carbon,leg7_carbon,leg8_carbon,leg9_carbon,leg10_carbon,leg11_carbon,leg12_carbon,leg13_carbon,calculated_total_carbon_footprint,leg1_cost,leg2_cost,leg3_cost,leg4_cost,leg5_cost,leg6_cost,leg7_cost,leg8_cost,leg9_cost,leg10_cost,leg11_cost,leg12_cost,leg13_cost,calculated_total_cost
A00053,dep,2,WALK,1.03435,13.233333333333333,BUS,30.28298,42.13333333333333,WALK,0.24878,3.966666666666667,RAIL,81.63217999999999,47.0,WALK,0.2566,3.216666666666667,RAIL,21.83171,17.0,WALK,0.31374,4.516666666666667,BUS,4.659020000000001,9.0,WALK,1.7693,22.8,,,,,,,,,,,,,162.8666666666667,142.02865999999997,0.0,3179.7129,0.0,3346.91938,0.0,895.1001100000001,0.0,489.1971000000001,0.0,0.0,0.0,0.0,0.0,7910.92949,0.0,6.056596,0.0,12.244826999999999,0.0,3.2747565,0.0,0.9318040000000002,0.0,0.0,0.0,0.0,0.0,22.507983499999998
A00054,dep,1,BICYCLE,22.40831,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1,22.40831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00055,dep,1,WALK,11.07714,142.56666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.56666666666666,11.07714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00056,dep,1,WALK,6.99474,89.93333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.93333333333334,6.99474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00057,dep,1,WALK,2.16248,28.016666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.016666666666666,2.16248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00058,dep,1,WALK,13.68624,175.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.3,13.68624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00059,dep,1,BICYCLE,49.09332,171.16666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.16666666666666,49.09332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00060,dep,1,CAR,142.87807999999998,98.73333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.73333333333332,142.87807999999998,27432.59136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27432.59136,60.72318399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.72318399999999
A00061,dep,1,CAR,274.7507,171.98333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.98333333333332,274.7507,52752.134399999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52752.134399999995,116.7690475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.7690475
A00062,dep,4,WALK,1.71391,21.916666666666668,BUS,19.50464,24.0,WALK,0.15002,2.5166666666666666,RAIL,92.30199,65.0,WALK,0.2566,3.216666666666667,RAIL,21.83171,17.0,WALK,0.31374,4.516666666666667,BUS,4.659020000000001,9.0,WALK,1.7693,22.8,,,,,,,,,,,,,169.9666666666667,142.50092999999998,0.0,2047.9871999999998,0.0,3784.38159,0.0,895.1001100000001,0.0,489.1971000000001,0.0,0.0,0.0,0.0,0.0,7216.666,0.0,3.900928,0.0,13.8452985,0.0,3.2747565,0.0,0.9318040000000002,0.0,0.0,0.0,0.0,0.0,21.952786999999997
A00063,dep,1,CAR,147.27297000000002,92.38333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.38333333333334,147.27297000000002,28276.410240000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28276.410240000005,62.591012250000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.591012250000006
