road,direction,mode,total_uses,00:00–01:00,01:00–02:00,02:00–03:00,03:00–04:00,04:00–05:00,05:00–06:00,06:00–07:00,07:00–08:00,08:00–09:00,09:00–10:00,10:00–11:00,11:00–12:00,12:00–13:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Kanaaldijk-Zuid,departure,BICYCLE,1050,0,0,0,0,0,0,0,0,0,1,16,33,99,222,194,150,136,88,39,56,16,0,0,0
Pastoriestraat,departure,CAR,1032,0,0,0,0,0,0,0,0,0,0,0,0,19,120,207,225,143,118,82,56,52,10,0,0
Kronehoefstraat,departure,CAR,1031,0,0,0,0,0,0,0,0,0,0,0,0,18,120,207,225,143,118,82,56,52,10,0,0
Vestdijktunnel,departure,BICYCLE,1031,0,0,0,0,0,0,0,0,0,1,13,29,97,220,190,150,134,87,38,56,16,0,0,0
Vestdijk,departure,BICYCLE,1030,0,0,0,0,0,0,0,0,0,1,13,29,96,220,190,150,134,87,38,56,16,0,0,0
Onze Lieve Vrouwestraat,departure,CAR,1027,0,0,0,0,0,0,0,0,0,0,0,0,18,120,206,226,142,117,80,56,52,10,0,0
de Dieze,departure,BICYCLE,1019,0,0,0,0,0,0,0,0,0,2,27,88,153,217,204,101,89,55,45,33,5,0,0,0
Bataweg,departure,BICYCLE,1015,0,0,0,0,0,0,0,0,0,2,27,88,153,217,202,100,89,54,45,33,5,0,0,0
Kanaaldijk,departure,BICYCLE,1014,0,0,0,0,0,0,0,0,0,3,34,93,160,203,203,105,92,53,41,27,0,0,0,0
Insulindelaan,departure,CAR,1009,0,0,0,0,0,0,0,0,0,0,0,0,20,123,201,218,138,116,77,57,49,10,0,0
de Dieze,return,BICYCLE,996,314,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,480
Kanaaldijk,return,BICYCLE,993,325,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,471
Bataweg,return,BICYCLE,993,313,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,478
Ekkersrijt,departure,WALK,992,0,0,0,0,0,0,0,0,0,1,11,54,138,205,211,129,109,53,43,34,4,0,0,0
Kanaaldijk Zuid,departure,WALK,988,0,0,0,0,0,0,0,0,0,1,11,54,138,205,209,129,108,53,42,34,4,0,0,0
Pastoriestraat,return,CAR,980,320,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,461
Boschdijk,return,WALK,979,347,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,439
Kronehoefstraat,return,CAR,977,319,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,460
Onze Lieve Vrouwestraat,return,CAR,972,317,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,458
Insulindelaan,return,CAR,967,314,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,457
Insulindeplein,return,CAR,948,306,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,447
E19,return,CAR,935,319,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,433
Boschdijk,departure,WALK,923,0,0,0,0,0,0,0,0,0,0,12,73,183,206,156,102,75,55,36,19,6,0,0,0
E19,departure,CAR,902,0,0,0,0,0,0,0,0,0,0,1,25,116,179,188,123,119,63,41,39,8,0,0,0
A16,return,CAR,886,299,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,415
A12,departure,CAR,870,0,0,0,0,0,0,0,0,0,0,0,14,90,191,188,134,102,57,61,21,12,0,0,0
Kanaaldijk-Zuid,return,BICYCLE,866,318,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,368
A16,departure,CAR,863,0,0,0,0,0,0,0,0,0,0,1,24,112,167,176,117,119,61,40,38,8,0,0,0
Vestdijktunnel,return,BICYCLE,848,313,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,357
Vestdijk,return,BICYCLE,846,312,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,356
A12,return,CAR,822,285,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,372
Dijkpad,return,BICYCLE,815,266,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,386
Heersdijk,return,BICYCLE,814,266,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,386
De Rijt,return,BICYCLE,814,266,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,386
Dijkpad,departure,BICYCLE,812,0,0,0,0,0,0,0,0,0,2,27,87,136,172,159,71,68,34,36,20,0,0,0,0
Moorland,departure,BICYCLE,811,0,0,0,0,0,0,0,0,0,2,27,87,136,172,159,70,68,34,36,20,0,0,0,0
De Rijt,departure,BICYCLE,811,0,0,0,0,0,0,0,0,0,2,27,87,136,172,159,70,68,34,36,20,0,0,0,0
Heersdijk,departure,BICYCLE,811,0,0,0,0,0,0,0,0,0,2,27,87,136,172,159,70,68,34,36,20,0,0,0,0
A1,return,CAR,806,270,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,365
Kempenweg,return,BICYCLE,769,253,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,365
A1,departure,CAR,760,0,0,0,0,0,0,0,0,0,0,0,24,152,157,147,104,88,42,28,17,1,0,0,0
E34,return,CAR,751,250,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,326
A67,return,CAR,751,250,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,326
Kempenweg,departure,BICYCLE,748,0,0,0,0,0,0,0,0,0,3,28,91,131,155,138,62,57,33,33,17,0,0,0,0
Postkoetsweg,departure,CAR,725,0,0,0,0,0,0,0,0,0,0,0,1,22,117,159,147,113,60,40,40,25,1,0,0
Spoordonkseweg,return,BICYCLE,722,236,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,345
Spoordonkseweg,departure,BICYCLE,720,0,0,0,0,0,0,0,0,0,2,27,83,123,148,137,61,57,32,33,17,0,0,0,0
Keizerweg,departure,BICYCLE,720,0,0,0,0,0,0,0,0,0,2,27,83,123,148,137,61,57,32,33,17,0,0,0,0
Kruisboog,departure,BICYCLE,720,0,0,0,0,0,0,0,0,0,2,27,83,123,148,137,61,57,32,33,17,0,0,0,0
Oude Grintweg,departure,BICYCLE,720,0,0,0,0,0,0,0,0,0,2,27,83,123,148,137,61,57,32,33,17,0,0,0,0
Doctor Berlagelaan,return,WALK,719,227,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,356
A67,departure,CAR,698,0,0,0,0,0,0,0,0,0,0,0,1,22,115,154,141,106,55,38,40,25,1,0,0
E34,departure,CAR,698,0,0,0,0,0,0,0,0,0,0,0,1,22,115,154,141,106,55,38,40,25,1,0,0
Ekkersrijt,return,WALK,697,254,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,305
Kanaaldijk Zuid,return,WALK,693,252,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,303
Europalaan,return,WALK,692,213,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,343
Tilburgseweg,return,BICYCLE,674,218,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,325
